"Идентиф.";"Обозначение";"Посад. место";"Количество";"Значение";"Поставщик и справка";
1;"BT2";"S8411-45R 1220";1;"Battery";;;
2;"C2, C3";"C_0805_2012Metric";2;"0.1u";;;
3;"C4, C5, C7, C9, C11, C20, C22, C24, C25, C26, C30, C31, C37, C38";"C_0805_2012Metric";14;"10u";;;
4;"C6, C10, C14, C21, C27, C32, C36, C39";"C_0805_2012Metric";8;"100n";;;
5;"C8";"Capacitor (Radial_D6.3mm_P2.50mm)";1;"220u";;;
6;"C15, C16, C17";"Capacitor (Radial_D6.3mm_P2.50mm)";3;"100u";;;
7;"C23, C28, C33";"C_0805_2012Metric";3;"1u";;;
8;"C29";"Capacitor (3528, tantalum, polar)";1;"10u";;;
9;"C34";"C_0805_2012Metric";1;"47u";;;
10;"D1";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4148";;;
11;"D2";"Diode (SOD-323)";1;"1N5819WS";;;
12;"D3";"Diode (SOD-323)";1;"3V3";;;
13;"D4, D5, D6, D7";"Diode (SOD-123)";4;"3V3";;;
14;"J2";"Pin Header (1x03)";1;"PWR";;;
15;"J3";"PinHeader_1x16_P2.54mm_Vertical";1;"Conn_01x16_Pin";;;
16;"J4";"MiniDIN (6 Pin, female)";1;"MDC-036";;;
17;"J5";"HDMI (female)";1;"DC3RX19JA2";;;
18;"J6";"XKB_DC-005-5A-2.0";1;"DC-005-5A-2.0";;;
19;"J8";"Pin Header (1x06)";1;"Conn_01x06_Pin";;;
20;"J9";"Connector Female 1.25 JST 2P";1;"PAM L";;;
21;"J10";"Connector Female 1.25 JST 2P";1;"PAM R";;;
22;"J11";"Jack (3.5mm)";1;"PJ-320D";;;
23;"J12";"DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm";1;"GP2";;;
24;"J13";"Jack (3.5mm, PJ-320D)";1;"Audio IN";;;
25;"J14, J18";"MicroSD (SMD, long)";2;"104031-0811";;;
26;"J15, J17";"USB Type A (stacked)";2;"SS-52100-004";;;
27;"J16";"D-SUB (15 pin, female)";1;"VGA";;;
28;"J19";"Connector Female 1.25 JST 8P";1;"Pin Header 1x08";;;
29;"J22";"Pin Header (1x02)";1;"USB IN";;;
30;"JP2, JP3";"Jumper (solder)";2;"3V3";;;
31;"JP4";"Jumper (solder)";1;"MONO";;;
32;"LD1";"LED (0805)";1;"Power";;;
33;"LD2, LD3";"LED (0805)";2;"SD";;;
34;"Q1, Q2";"SOT-23";2;"BC850";;;
35;"R6, R30, R49, R51, R52, R53, R54, R55, R56, R59, R63";"R_0805_2012Metric";11;"10K";;;
36;"R9, R10, R24, R33, R34";"R_0805_2012Metric";5;"1k";;;
37;"R11, R65, R74, R75, R76";"R_0805_2012Metric";5;"1K";;;
38;"R12, R13, R14, R15, R16, R17, R18, R19";"R_0805_2012Metric";8;"270R";;;
39;"R20, R27, R28, R35, R36, R45, R60, R77, R78";"R_0805_2012Metric";9;"100R";;;
40;"R21, R22, R23";"R_0805_2012Metric";3;"10k";;;
41;"R25, R26, R37, R38";"R_0805_2012Metric";4;"5.1K";;;
42;"R29";"R_0805_2012Metric";1;"2k7 1%";;;
43;"R31, R32";"R_0805_2012Metric";2;"330";;;
44;"R46, R47";"R_0805_2012Metric";2;"470R";;;
45;"R48, R50";"R_0805_2012Metric";2;"2K";;;
46;"R57, R58";"R_0805_2012Metric";2;"47K";;;
47;"R61, R62";"R_0805_2012Metric";2;"20K";;;
48;"R71, R72, R73";"R_0805_2012Metric";3;"330R";;;
49;"S2";"SW_Tactile_SKHH_Angled";1;"Reset";;;
50;"SW1";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"SPEAKER";;;
51;"U2";"SOT-223-3_TabPin2";1;"AMS1117 3.3";;;
52;"U3";"SSOP-28_3.9x9.9mm_P0.635mm";1;"FE1.1s";;;
53;"U4, U10";"Raspberry Pi Pico";2;"Rasberry Pi Pico 1/2";;;
54;"U5";"SOIC-8_3.9x4.9mm_P1.27mm";1;"DS1307Z+";;;
55;"U6";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TDA1387T";;;
56;"U7";"SOP-16";1;"PAM8403D";;;
57;"U8";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM358";;;
58;"USB1, USB2";"USB Type C";2;"TYPE-C-31-M-12";;;
59;"Y1";"Crystal_HC49-4H_Vertical";1;"12MHz";;;
60;"Y3";"Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal";1;"32768 Hz";;;
